,zero_count,non_zero_count,zero_percentage,min,max,mean,median
Pacific Loon,111211.0,4321.0,96.25991067409895,0.0,23.0,0.05826091393828392,0.0
Painted Bunting,115520.0,12.0,99.98961326731988,0.0,1.0,0.00010386732901679352,0.0
Palm Warbler,115515.0,17.0,99.98528546203649,0.0,2.0,0.0001731122174533084,0.0
Parasitic Jaeger,107796.0,7736.0,93.30401966554722,0.0,10.0,0.08316310495138168,0.0
Pectoral Sandpiper,109708.0,5824.0,94.95897240591351,0.0,10.0,0.06469203531742096,0.0
Peregrine Falcon,85816.0,29716.0,74.27898763978811,0.0,30000.0,5.488011837005615,0.0
Philadelphia Vireo,114073.0,1459.0,98.73714641830836,0.0,16.0,0.017977703362703323,0.0
Pied-billed Grebe,114844.0,688.0,99.40449399300627,0.0,800.0,0.0922514945268631,0.0
Pileated Woodpecker,106792.0,8740.0,92.43499636464357,0.0,8300.0,1.3382526636123657,0.0
Pin-tailed Whydah,114257.0,1275.0,98.8964096527369,0.0,500.0,0.1950022578239441,0.0
Pine Siskin,108576.0,6956.0,93.97915728975522,0.0,300.0,0.805880606174469,0.0
Pine Warbler,112510.0,3022.0,97.38427448672229,0.0,300.0,0.07768410444259644,0.0
Piping Plover,114627.0,905.0,99.21666724370736,0.0,90.0,0.03524564579129219,0.0
Pomarine Jaeger,115483.0,49.0,99.95758750822283,0.0,4.0,0.0005626147030852735,0.0
Prairie Warbler,103394.0,12138.0,89.49381989405532,0.0,5350.0,2.0532493591308594,0.0
Prothonotary Warbler,102930.0,12602.0,89.09219956375722,0.0,46.0,0.2301526814699173,0.0
Purple Finch,100751.0,14781.0,87.20614202125819,0.0,60.0,0.2978482246398926,0.0
Purple Gallinule,115095.0,437.0,99.62174981823217,0.0,470.0,0.04132188484072685,0.0
Purple Martin,111582.0,3950.0,96.58103382612609,0.0,101.0,0.1431724578142166,0.0
Purple Sandpiper,113932.0,1600.0,98.61510230931691,0.0,6.0,0.01882595382630825,0.0
Red Fody,115411.0,121.0,99.8952671121421,0.0,300.0,0.019215455278754234,0.0
Red Junglefowl,107824.0,7708.0,93.32825537513416,0.0,360.0,1.0989595651626587,0.0
Red Knot,115184.0,348.0,99.69878475227642,0.0,51.0,0.010542533360421658,0.0
Red Phalarope,111795.0,3737.0,96.76539833119828,0.0,4380.0,0.6372693181037903,0.0
Red-bellied Woodpecker,112628.0,2904.0,97.48641069141017,0.0,450.0,0.13237890601158142,0.0
Red-billed Tropicbird,115492.0,40.0,99.96537755773292,0.0,3.0,0.00039815809577703476,0.0
Red-breasted Merganser,112496.0,3036.0,97.37215663192882,0.0,63.0,0.19633521139621735,0.0
Red-breasted Nuthatch,113411.0,2121.0,98.16414499878822,0.0,80.0,0.05293771252036095,0.0
Red-cockaded Woodpecker,115283.0,249.0,99.78447529688744,0.0,30.0,0.005314544774591923,0.0
Red-eyed Vireo,114949.0,583.0,99.49537790395735,0.0,36.0,0.014489492401480675,0.0
Red-footed Booby,114725.0,807.0,99.30149222726172,0.0,30.0,0.014550081454217434,0.0
Red-headed Woodpecker,112871.0,2661.0,97.69674202818267,0.0,150.0,0.13771076500415802,0.0
Red-necked Grebe,114257.0,1275.0,98.8964096527369,0.0,800.0,0.13964961469173431,0.0
Red-necked Phalarope,114763.0,769.0,99.33438354741544,0.0,34.0,0.007850638590753078,0.0
Red-shouldered Hawk,115492.0,40.0,99.96537755773292,0.0,2.0,0.00037219125078991055,0.0
Red-tailed Hawk,114180.0,1352.0,98.82976145137278,0.0,2980.0,0.20717203617095947,0.0
Red-throated Loon,115384.0,148.0,99.87189696361182,0.0,300.0,0.00809299573302269,0.0
Red-winged Blackbird,101659.0,13873.0,87.99207146072085,0.0,500.0,0.4458591639995575,0.0
Reddish Egret,114039.0,1493.0,98.70771734238133,0.0,24.0,0.040309179574251175,0.0
Redhead,114745.0,787.0,99.31880344839526,0.0,10.0,0.011511961929500103,0.0
Ring-billed Gull,112685.0,2847.0,97.53574767164076,0.0,47.0,0.05086902156472206,0.0
Ring-necked Duck,115462.0,70.0,99.93941072603262,0.0,55.0,0.002570716431364417,0.0
Ring-necked Pheasant,114503.0,1029.0,99.10933767267943,0.0,85.0,0.0386386439204216,0.0
Ringed Teal,115492.0,40.0,99.96537755773292,0.0,1.0,0.0003462244349066168,0.0
Rock Pigeon,113077.0,2455.0,97.87504760585811,0.0,135.0,0.03431084007024765,0.0
Rose-breasted Grosbeak,115505.0,27.0,99.97662985146972,0.0,3.0,0.00031160199432633817,0.0
Roseate Spoonbill,115115.0,417.0,99.63906103936571,0.0,230.0,0.018817298114299774,0.0
Ross's Goose,109906.0,5626.0,95.13035349513555,0.0,120.0,0.1006474420428276,0.0
Rosy-faced Lovebird,115463.0,69.0,99.94027628708929,0.0,10.0,0.001419520121999085,0.0
Royal Tern,115489.0,43.0,99.9627808745629,0.0,12.0,0.0008915278594940901,0.0
Ruby-crowned Kinglet,114157.0,1375.0,98.80985354706921,0.0,66.0,0.02308451384305954,0.0
Ruby-throated Hummingbird,115152.0,380.0,99.67108679846277,0.0,7.0,0.004786552861332893,0.0
Ruddy Duck,114631.0,901.0,99.22012948793409,0.0,31.0,0.014974206686019897,0.0
Ruddy Turnstone,110194.0,5338.0,95.3796350794585,0.0,135.0,0.17583006620407104,0.0
Rufous Hummingbird,115309.0,223.0,99.80697988436104,0.0,15.0,0.00488176429644227,0.0
Rusty Blackbird,113691.0,1841.0,98.40650209465775,0.0,75.0,0.033549144864082336,0.0
Sabine's Gull,110913.0,4619.0,96.00197347920923,0.0,200000.0,4.292204856872559,0.0
Sanderling,111103.0,4429.0,96.16643007997784,0.0,300.0,0.0833968073129654,0.0
Sandhill Crane,115489.0,43.0,99.9627808745629,0.0,1.0,0.00037219125078991055,0.0
Sandwich Tern,89731.0,25801.0,77.66765917667833,0.0,50.0,0.4683637320995331,0.0
Sargasso Shearwater,102047.0,13485.0,88.32790915071149,0.0,400.0,0.41072604060173035,0.0
Savannah Sparrow,115486.0,46.0,99.96018419139287,0.0,13.0,0.0006664820248261094,0.0
Say's Phoebe,114905.0,627.0,99.45729321746356,0.0,34.0,0.008482498116791248,0.0
Scaly-breasted Munia,114889.0,643.0,99.44344424055673,0.0,7.0,0.006301284302026033,0.0
Scarlet Macaw,115183.0,349.0,99.69791919121975,0.0,25.0,0.00809299573302269,0.0
Scarlet Tanager,115126.0,406.0,99.64858221098916,0.0,29.0,0.008378631435334682,0.0
Scissor-tailed Flycatcher,115467.0,65.0,99.943738531316,0.0,3.0,0.0005885814898647368,0.0
Scopoli's Shearwater,115459.0,73.0,99.9368140428626,0.0,3.0,0.0006924488698132336,0.0
Seaside Sparrow,115517.0,15.0,99.98701658414984,0.0,1.0,0.00012983415217604488,0.0
Sedge Wren,115069.0,463.0,99.59924523075858,0.0,14.0,0.00729667954146862,0.0
Semipalmated Plover,114311.0,1221.0,98.94314994979746,0.0,3000.0,0.26583975553512573,0.0
Semipalmated Sandpiper,115352.0,180.0,99.84419900979815,0.0,2.0,0.001566665479913354,0.0
Sharp-shinned Hawk,115123.0,409.0,99.64598552781914,0.0,217.0,0.016437005251646042,0.0
Shiny Cowbird,108101.0,7431.0,93.56801578783367,0.0,1000.0,1.0004154443740845,0.0
Short-billed Dowitcher,115517.0,15.0,99.98701658414984,0.0,3.0,0.00018176782759837806,0.0
Short-eared Owl,115511.0,21.0,99.98182321780979,0.0,1.0,0.00018176782759837806,0.0
Short-tailed Hawk,115043.0,489.0,99.57674064328498,0.0,24.0,0.010577156208455563,0.0
Slaty-backed Gull,104152.0,11380.0,90.14991517501645,0.0,150.0,0.26851436495780945,0.0
