,Reddish Egret,Dark-eyed Junco,Graylag Goose,Fish Crow,White-winged Scoter,Golden-winged Warbler,Orange-crowned Warbler,American Redstart,Least Flycatcher,Dunlin,American Avocet,Baltimore Oriole,Short-billed Dowitcher,Great Blue Heron,Common Gallinule,Yellow-crowned Night Heron,Neotropic Cormorant,Horned Grebe,Horned Lark,Monk Parakeet,Canvasback,Northern Harrier,Blackpoll Warbler,European Starling,Brown Thrasher,Downy Woodpecker,Bullock's Oriole,Cape May Warbler,Cerulean Warbler,American Crow,Dickcissel,Brown Noddy,Great Black-backed Gull,Eastern Phoebe,Caspian Tern,Red Junglefowl,Royal Tern,Blue Grosbeak,Ross's Goose,Black-and-white Warbler,Tropical Kingbird,Purple Finch,Eastern Kingbird,Indigo Bunting,Acadian Flycatcher,Red-eyed Vireo,Solitary Sandpiper,Gull-billed Tern,Nashville Warbler,Black-headed Gull,Little Blue Heron,Warbling Vireo,Black-whiskered Vireo,Brown Pelican,Fox Sparrow,Black Scoter,Gray-cheeked Thrush,Grasshopper Sparrow,Field Sparrow,Hairy Woodpecker,Long-billed Dowitcher,Sandwich Tern,Lesser Yellowlegs,White-throated Sparrow,Bald Eagle,Bridled Tern,Groove-billed Ani,Killdeer,Allen's Hummingbird,Hooded Warbler
Eastern Phoebe,1.557107340387519e-05,1.620716204165644e-05,1.3288278427388196e-05,1.2944087274067188e-06,2.1418725771162258e-06,7.003472666573944e-05,1.8200261517665527e-05,7.352479576239005e-06,5.000902688543279e-06,3.75506176617058e-05,1.8094499447328225e-05,2.4958746952697314e-05,8.947171827919917e-06,5.38109033476646e-05,3.5293999384017655e-05,1.7989989870349103e-05,1.586167709317355e-05,1.7606398633585956e-05,7.166300659833104e-06,3.462406360072612e-05,0.0003960567171042758,1.9814450047707265e-05,2.19221906194282e-05,2.490258673666142e-05,0.00015446440860709308,5.1907443751347174e-05,8.468917885378043e-05,6.306281129583857e-05,4.362758010550332e-05,3.582520427800229e-05,9.605659148947149e-05,0.00012824488258230345,0.00011974483368544113,0.0,0.00018036468385820379,0.0003440601990461715,6.258368203164036e-05,2.7265803074613883e-05,0.0001753685282279038,2.126815919527555e-05,0.00010939670991543307,2.938495422954937e-05,6.470113688301943e-05,4.637201915088502e-05,1.0475146009425256e-09,4.80653129686644e-10,1.7322098526454843e-10,6.108218250575168e-10,2.8847650863585694e-10,7.223948558492717e-11,1.474536263991653e-09,5.877805361995053e-10,8.988084835902909e-10,1.4571837061933517e-09,1.235820387936726e-10,2.932152832740407e-10,3.1550820268106956e-10,2.240281662783508e-10,2.9321291014029697e-10,3.201349756107661e-10,9.614416019872007e-10,3.2703253360402857e-10,7.195676274469802e-10,7.343938297686599e-10,1.0999348030064682e-09,1.4683094210596822e-09,8.165835596504577e-10,1.2508379337135193e-09,4.765577054663183e-10,1.540092824078733e-10
Caspian Tern,6.295846200544145e-06,1.4147003314873819e-05,4.779872824289557e-06,1.077741597498227e-06,8.478947733840965e-07,1.6573616992362006e-05,6.7955767129784366e-06,2.8012716911980427e-06,4.341121089632992e-07,7.299034509446282e-06,4.90543049448676e-06,1.709893416420936e-05,1.8943640424039494e-06,6.282699855257952e-05,9.920219380225326e-05,3.808174716260237e-05,0.00012352040424046617,2.4578800680336622e-05,4.002175631630037e-05,2.1928461807698785e-05,0.00012153130538657959,3.3287545137830766e-05,7.678337201259785e-05,2.6435479627861994e-05,0.00019800164025213945,0.00011139313289078461,0.00020865760129379387,0.00019614210875864047,7.648211515394404e-05,0.0002530879689222287,5.9828066751839974e-05,0.00013589516322001224,0.00013644123725925202,0.00018036468385820379,0.0,0.0003612859435336616,0.00013063520033145584,4.41913254651837e-05,8.192768925186307e-05,0.00010935520344019027,0.0001927391535866152,3.116076905628838e-05,3.226183255689652e-05,5.628839219837305e-05,1.9859933658749717e-10,5.6454629272468925e-11,1.2038854555640107e-10,1.4475518171164124e-11,9.700543756655757e-11,1.1720855808693943e-11,1.325666695609417e-11,3.881309347737313e-11,8.5395055649661e-11,4.784367438555721e-11,1.3863668135558093e-11,2.0779234835434032e-11,3.531099601119349e-11,5.419083156724846e-11,1.6598426591875153e-11,1.0630567153612433e-11,7.595587586287404e-11,2.7365014931210064e-11,6.783281882154372e-11,3.687532157350161e-11,4.232070644222917e-11,2.8270290941395287e-11,4.351896974261611e-11,1.7391154507540687e-10,6.750642070066984e-11,1.9213543420559378e-11
Red Junglefowl,1.0536651092516748e-05,7.066258331967922e-06,5.657747868177026e-06,4.3259576723105226e-07,1.4869647786676755e-06,2.7718633968985766e-05,1.876748430683263e-05,9.632431242126892e-07,6.674669416586294e-07,9.539055638444748e-06,4.7576909592837265e-06,4.3646119474712243e-05,2.4778445066608465e-05,4.105984281926654e-05,0.00014353049462952162,9.39298751635646e-05,0.0002408507359937286,6.484403452058864e-05,4.3807323845916334e-05,8.715410137735813e-05,0.00019700043466335006,8.660888092302151e-05,3.444335125103509e-05,3.8790214857080145e-05,8.583078724481224e-05,0.00017058573736755044,0.00029843316456775246,0.00026891815602607535,3.906582551567581e-05,0.00017457015510561683,0.0002617075250158884,0.00031044997927850526,0.0001742963353827396,0.0003440601990461715,0.0003612859435336616,0.0,0.0004829505073086832,5.09863470828988e-05,5.745155390975987e-05,9.059138101662353e-05,0.0002450947545408875,0.00010015911474978437,0.00012800163321285743,7.237294934773811e-05,2.0688070879539254e-11,2.0807453626682038e-12,2.9340829486748046e-12,5.1502255748036914e-12,1.0884542391145446e-11,2.9155881222717352e-12,2.128178228044376e-12,2.454413454607974e-12,1.4467809540842849e-11,8.391573183614117e-12,1.6655982121596904e-12,1.3907406288066223e-12,2.2644898196173315e-12,9.191318468140608e-12,2.8971334552877627e-12,5.751113227609438e-12,8.026616094808269e-12,2.7259596378216978e-12,9.493294827812229e-12,4.2461228226837805e-12,8.101870362524985e-12,1.63526449661746e-11,1.6703481587031993e-11,1.7221301842622234e-11,5.114505537644793e-12,2.2686991603294693e-12
Royal Tern,6.567134347159566e-06,1.857908594833253e-05,5.6954245732702296e-06,1.4678322481301426e-06,1.6851976802803415e-06,1.7552172191689934e-05,2.126808827970645e-05,1.0713937023492703e-06,5.765696378185494e-07,4.58545861535692e-06,8.450176506284434e-06,4.470408656061866e-05,2.68412924282179e-06,1.8742010470400877e-05,3.6010162287656765e-05,3.684878595487996e-05,0.0001323405433836949,0.0002597017700842302,8.835476926807951e-05,5.071095738364522e-05,0.00018037946496998096,5.56047461729417e-05,5.384697013749225e-05,0.00010594177524637071,8.890865346657788e-05,0.00013293275293144082,0.00018674557952504122,0.00011655767797964537,0.00014116427159448474,5.893666260087267e-05,0.0002045841404867798,0.0002099847985772396,4.459885865505631e-05,6.258368203164036e-05,0.00013063520033145584,0.0004829505073086832,0.0,8.231617103686032e-06,6.402442301397644e-05,0.00013863706139087152,0.0001527182937286661,2.5786505491723044e-05,6.190584943573956e-05,3.6721694237792026e-05,5.2186785123728734e-11,1.1380726077873285e-11,2.5494215847946223e-11,3.73223984576867e-11,1.8333420589821103e-11,1.3799855403575667e-11,7.64201784987063e-12,2.4043271650665498e-11,2.673586613292652e-11,2.6113526579882406e-11,7.681199550870742e-12,9.123050471690123e-12,1.4526540804334748e-11,1.1390607575895282e-11,1.488439717043856e-11,1.720631209333174e-11,4.9449593462760066e-11,7.094821231380928e-11,3.433402911687488e-11,9.148134781697318e-12,2.3324353893965804e-11,6.345009222613068e-11,3.030326652816667e-11,9.167991682319605e-11,3.489308518182001e-11,9.982261588443811e-12
Blue Grosbeak,1.8463783940715877e-05,1.1684446679909683e-05,8.697985004843578e-06,1.1875389604911808e-05,4.631510768408821e-06,0.00035038895820477495,2.5315638582929358e-05,4.602726635579558e-05,1.0872883164999678e-05,8.219733898994942e-05,7.993728662197457e-05,3.9190277232430354e-05,9.72856654257932e-05,9.865241472315896e-05,2.4342329819721005e-05,1.1158650852461136e-05,3.079583896731591e-06,3.1898839114454346e-06,6.736714625103894e-06,5.3710833228801295e-06,5.139382669442787e-06,2.8384785734844357e-05,6.033354043719293e-06,3.5651691139902614e-05,1.810752773376913e-05,4.3829803853474e-05,6.22638142468785e-05,1.3092489887235554e-05,2.3986225672675978e-05,2.263450456769982e-05,5.807023588872321e-05,3.994000695029886e-05,4.792899938825236e-05,2.7265803074613883e-05,4.41913254651837e-05,5.09863470828988e-05,8.231617103686032e-06,0.0,0.0002594213452583232,4.9144861748965584e-05,4.5576481115943104e-05,2.9943154375717414e-05,0.00015836055763988622,0.0002084964304705069,3.422330130487786e-09,1.0139939894914158e-09,4.785009324692554e-10,2.113869872419328e-09,5.845254820104484e-10,4.912652055615114e-10,1.2481240160788994e-09,3.53401865576379e-10,2.3821498418530705e-09,8.868584774049263e-10,4.73081284428196e-10,1.1474777808770893e-09,2.5969129703268044e-10,7.861401770660074e-10,4.843196500251345e-10,8.928979173715327e-11,2.0223730510842907e-09,1.539599570347085e-09,5.384746568999532e-10,7.751551983253824e-10,4.866629653409873e-09,2.9667695632125976e-09,9.496527114860544e-10,1.0349626986810059e-09,2.254210915885409e-09,4.6227352942364387e-10
Ross's Goose,4.670696748725799e-06,7.943690209934093e-06,3.892963156090006e-06,2.4191106196856168e-06,1.5429722478891907e-06,3.93493181078817e-05,9.557426838675933e-06,4.690614308159337e-06,1.8242214258930609e-06,0.0002465906379006811,2.700619834039406e-05,1.3097628179464914e-05,2.181313163918825e-05,3.9708672827388523e-05,3.852457828053403e-05,9.783156868118306e-06,6.9007382484153135e-06,1.087689279265739e-05,4.339728782868467e-06,2.6812803885142346e-06,2.5529405446342667e-05,1.5373669406841017e-05,5.178560712164716e-06,2.1257306694662356e-05,3.2546071035618166e-05,7.084629727676555e-05,0.0003116026079851328,4.281149120325638e-05,5.096434395720001e-05,6.85113111855548e-06,0.00019171578005995897,9.216410273728231e-05,0.00035166912724070277,0.0001753685282279038,8.192768925186307e-05,5.745155390975987e-05,6.402442301397644e-05,0.0002594213452583232,0.0,2.7021997801247525e-05,6.592400028249725e-05,8.879354789407093e-05,0.0001793014890164491,1.8863750927617802e-05,5.205623538270525e-09,2.4590566368267945e-09,1.2264550297678407e-09,3.5782101826341465e-09,9.632803568273692e-10,2.46739654843505e-10,6.109736782435142e-10,9.728186095169627e-10,1.4720558623001649e-09,2.5527212716737908e-09,6.401070630416724e-10,9.869712063249478e-10,1.6153604267383236e-09,9.792933076098032e-10,1.1278179126610005e-09,4.6399894054432427e-10,2.393887813189018e-09,1.7148701467709782e-09,1.678326352002349e-09,1.3144621991425275e-09,1.7734279884921718e-09,2.0917973065098003e-09,1.5634297840237313e-09,2.655681910247365e-09,4.7251377843727014e-09,2.0556615059205955e-10
Black-and-white Warbler,4.738987591653415e-06,1.608451378510415e-05,9.877482096581401e-06,6.872637941244927e-07,5.56561387300447e-07,9.3420495340945e-06,6.532370477091736e-06,2.224266023652126e-06,2.6810224291659495e-07,5.8335463863631515e-06,2.120669341643454e-05,1.7033469019070585e-05,6.972919101650702e-06,0.00010148825590524357,7.48442138325686e-05,8.454052361307075e-05,5.178222568365887e-05,8.995973303045174e-05,6.621452174373268e-05,6.631446178324375e-05,0.0002499437062721326,0.00019210931441521428,0.00012969865383706089,0.00010249044606049564,3.217600982150285e-05,0.0001396779010334705,0.00010775441549681103,4.276315499098606e-05,0.00022516781641356877,0.00016296319260328314,0.00010443333749869779,4.687703872465244e-05,6.0401429660739184e-05,2.126815919527555e-05,0.00010935520344019027,9.059138101662353e-05,0.00013863706139087152,4.9144861748965584e-05,2.7021997801247525e-05,0.0,0.0003565047915456516,0.00013426159507067028,0.00018015779349042063,0.00018945769345007896,1.5128382208713552e-12,6.468108285959399e-13,9.23321334977389e-13,1.0716371257775427e-12,1.0253170324784022e-12,8.28462713425131e-14,1.4300335753781606e-12,3.959991938664309e-13,4.532433307120398e-12,2.078258561898938e-12,2.0246067886501897e-13,2.3680120776068788e-12,1.405226380016821e-12,2.242105609615432e-12,1.8645050033135534e-13,5.544736588115284e-13,3.6218235771185372e-12,1.3186826174662222e-12,1.287451319465217e-12,3.432444955053318e-12,6.788946445302229e-13,1.785537890553431e-12,3.093349194479431e-13,2.43492540894819e-12,4.601878159322934e-12,2.7503425857807386e-13
Tropical Kingbird,4.002010173242234e-06,8.096643077299184e-06,1.9567912939312866e-05,6.823444211977364e-07,1.8279835729062543e-06,3.27826292611797e-05,8.89183124784479e-06,1.4177423546165253e-06,5.825620393861111e-07,3.147374608182727e-05,1.2030271942557714e-05,6.790833460615717e-05,1.4116341464772427e-05,9.035402094505385e-05,7.294777150682116e-05,6.0597227905243366e-05,7.428702285797715e-05,5.2080664269992896e-05,9.095302897141164e-05,7.133864209766876e-05,0.00012412877595442592,3.865402355847464e-05,3.018780322825784e-05,7.291368261339736e-05,6.691005586890249e-05,0.00020309069112027877,8.248284294724407e-05,0.00020314724133928985,5.533333205717149e-05,0.00018584647024983116,0.00011399367105414975,0.00014324129513744428,5.641967012241359e-05,0.00010939670991543307,0.0001927391535866152,0.0002450947545408875,0.0001527182937286661,4.5576481115943104e-05,6.592400028249725e-05,0.0003565047915456516,0.0,2.2644270022476074e-05,6.90495343734725e-05,0.0002744257981202523,9.371423529250893e-12,4.579885971106969e-12,2.1072024954031453e-12,7.206712592816117e-12,3.0992457444596243e-12,9.845192390435139e-13,5.426078833488097e-12,1.9114845200635667e-12,3.5112267465705026e-12,5.295355095209733e-12,6.298941394409913e-13,4.44372225831935e-12,9.041889749381106e-12,4.567479329135271e-12,1.3455224234659092e-12,2.0343814424886605e-12,9.78301910369141e-12,3.4746601449555914e-12,1.3617233485645935e-11,2.358549280102699e-12,5.1701614964271835e-12,3.105106255235494e-12,1.3292595563494212e-11,5.986067965311763e-12,6.703029790893748e-12,4.747527734699194e-12
Purple Finch,0.00014823797742141966,4.2390523383986344e-05,4.893739087965267e-05,1.4055766028231495e-05,6.267305110304138e-06,6.25006116812868e-05,7.672222670624942e-05,1.3528326042260336e-05,2.2596654934756603e-05,0.00011790478124890474,5.4239837035836144e-05,0.0001298591881078189,6.94649328704984e-05,2.1089251756074508e-05,0.00011671108279463619,3.6404194740374114e-05,7.245156653484883e-06,2.671541570381036e-05,4.907975731979743e-06,8.41454295164273e-06,1.6966818798521582e-05,0.0001012418754738689,4.497626799316827e-06,5.687406361448634e-05,5.397313877427998e-05,4.390567000456778e-05,6.32013554922828e-05,4.858930710194888e-05,2.15463858807811e-05,1.2797883763727243e-05,3.318852924086325e-05,2.3948063800511456e-05,3.9521138470413057e-05,2.938495422954937e-05,3.116076905628838e-05,0.00010015911474978437,2.5786505491723044e-05,2.9943154375717414e-05,8.879354789407093e-05,0.00013426159507067028,2.2644270022476074e-05,0.0,0.00014438852447009153,0.000350295274027238,2.850697756581094e-10,4.342736865518887e-11,7.783319504094166e-11,3.940532137192277e-11,1.557650414342122e-10,7.743521968808999e-11,5.766550103121095e-11,1.0298605164865483e-10,1.811236533556129e-10,1.1109358168822022e-10,3.704044514800483e-11,5.529116942323831e-11,1.1512026767923752e-10,5.008863424393589e-11,7.503469517688628e-11,3.892052139428712e-11,9.005442779998515e-11,1.2288913126864688e-10,2.2615502155774102e-10,6.321467606101289e-12,1.96505881951774e-10,1.7452946724383348e-10,2.2014390184014964e-10,1.2223580876650114e-10,1.0793503318030481e-10,9.727721812270665e-12
Eastern Kingbird,5.334267457145778e-06,7.46457027824223e-06,6.296519290715214e-05,3.750227871921712e-06,9.216914752865508e-06,0.00012658391900904493,3.34391738291234e-05,1.114450247341155e-05,5.596553883286571e-06,6.269654417799552e-05,8.156817302075417e-05,2.820448036217782e-05,2.4526517428047435e-05,4.8904302149830795e-05,7.214614960543276e-05,1.7482778200179186e-05,2.0517046820281296e-06,1.7062451231970565e-05,1.8737113467728323e-05,9.337520692917083e-06,4.454997683088842e-05,2.985620970743844e-05,2.198614293151926e-05,7.907474282524517e-05,0.0001735616515179871,5.236866397523836e-05,6.35668541675315e-05,6.393116274136042e-05,8.96514702555155e-05,4.3427658539049914e-05,0.00020334951854082255,5.245860201760868e-05,6.48459046595048e-05,6.470113688301943e-05,3.226183255689652e-05,0.00012800163321285743,6.190584943573956e-05,0.00015836055763988622,0.0001793014890164491,0.00018015779349042063,6.90495343734725e-05,0.00014438852447009153,0.0,0.0005700528419849638,2.318907948915737e-09,3.534908860395197e-10,1.6045311382060564e-10,5.102530764763923e-10,3.5257009820797807e-10,1.2993495470476516e-10,8.889895628376883e-10,4.714955772737795e-10,6.974767122050734e-10,8.945978187090077e-10,8.938218020491466e-11,2.495847226438306e-10,5.268705764548617e-10,3.137888449834023e-10,7.672283423912427e-11,2.766471903519012e-10,1.3259922274878427e-09,4.492789682556287e-10,6.638398847009673e-10,4.336562942098287e-10,6.114722614732053e-10,4.147071741386834e-10,7.684347698765078e-11,4.136851551237398e-10,8.914748609409104e-10,1.1027556927251601e-10
Indigo Bunting,5.469199799579503e-05,4.213331323664588e-05,9.408162872886573e-05,3.522524227803715e-05,2.8839859116024248e-05,0.00030820416471692317,7.44965797275004e-05,3.652210456913097e-05,4.982043044912595e-06,2.735362452375287e-05,0.0002204206276873568,6.550240041317236e-05,0.00013362978747160213,0.00024963931149256635,0.00020973258769506236,4.373632794792471e-05,1.1389577131193556e-05,1.007390475986651e-05,1.849202349426773e-05,0.00010263111806348347,3.746005249447013e-05,6.503643529034025e-05,8.678301321293802e-06,0.00010594859054431866,0.00011082551586169652,0.00012387170425276082,3.133224289859898e-05,4.037713669727291e-05,2.3102803848664123e-05,2.772400275544208e-05,7.362055441527491e-05,3.279878959044453e-05,1.186651963997209e-05,4.637201915088502e-05,5.628839219837305e-05,7.237294934773811e-05,3.6721694237792026e-05,0.0002084964304705069,1.8863750927617802e-05,0.00018945769345007896,0.0002744257981202523,0.000350295274027238,0.0005700528419849638,0.0,5.718048439444288e-11,1.958248265228014e-11,1.4460675167024333e-11,1.0358337772871678e-11,2.0076934951562754e-11,3.3741101653854077e-12,2.0139553272143812e-11,2.3017067877883913e-11,5.4642489261534826e-11,2.7569767584837673e-11,7.707171811028312e-12,1.0326610274757924e-11,5.804507876071806e-12,3.1530753526679843e-11,1.8666191223965846e-11,1.325949768634988e-11,9.317029244621858e-11,1.262834314928511e-11,2.09356935206941e-11,4.231072202663526e-12,1.3867627153615047e-11,2.2439961916826252e-11,1.9349148589899985e-11,4.241451389547717e-11,7.554086176893937e-11,8.472382407072796e-12
Acadian Flycatcher,4.8183122555090014e-11,1.1418893176673634e-13,3.937528077079856e-11,1.7994281692791832e-09,4.0563158483484436e-09,2.3204194189051143e-10,7.72881742401445e-11,4.641650147568768e-09,1.6769938848188225e-08,8.878341481202906e-08,1.321308976208447e-09,1.094321428002148e-11,4.1631833369859673e-10,3.75953504823552e-13,1.0877382181460973e-12,9.833162466734268e-14,5.911006047661597e-13,7.1162908946756435e-12,3.5756709804115408e-12,9.94757025548384e-13,5.038420794092411e-12,3.4346813791341147e-12,8.539331659281235e-13,8.580791866992584e-13,2.379429518662166e-10,1.6090019461971428e-12,6.446811261466205e-12,5.404766894834312e-13,2.332850094412495e-10,4.838322770846171e-11,6.123731036833838e-11,1.790920485668014e-10,1.017020252357355e-08,1.0475146009425256e-09,1.9859933658749717e-10,2.0688070879539254e-11,5.2186785123728734e-11,3.422330130487786e-09,5.205623538270525e-09,1.5128382208713552e-12,9.371423529250893e-12,2.850697756581094e-10,2.318907948915737e-09,5.718048439444288e-11,0.0,6.0557273039009625e-05,3.852891143697397e-05,3.686708987477097e-05,2.853254603389065e-05,4.402398040238231e-05,4.2282038023162756e-05,2.3374490749136136e-05,2.706063905507679e-05,2.8592634175085018e-05,1.5480341153487165e-05,3.9719063644323526e-05,1.8990249143762197e-05,2.5997865263574818e-05,2.7093214246646723e-05,6.155598100885948e-06,2.844115252419346e-05,4.229030885512792e-05,2.0917320027587408e-05,1.543759866656847e-05,2.4684294582256588e-05,1.2745901630387224e-05,1.2149345920006337e-05,1.0286138923982125e-05,1.0400764474048113e-05,1.4438676372398798e-05
Red-eyed Vireo,3.506994450375738e-11,8.964911184550192e-14,3.921402968481624e-12,2.626043752687757e-09,7.123110289281619e-09,4.5894948702746294e-10,9.031332374559987e-11,2.1988759322883482e-08,4.581329185622543e-09,1.131679029201231e-08,5.75162805643328e-10,5.638455254387608e-12,3.272529081617104e-10,5.808600339864232e-13,2.950053464776899e-13,2.3057596109004048e-14,1.555237400447414e-13,4.673082014213333e-12,1.6579470401263246e-12,2.9278724954174985e-13,4.6212275990592286e-12,1.375452407395011e-12,2.948496294036465e-13,2.6225961502186145e-13,2.3210463135862842e-10,7.15637474034073e-13,1.212195516869379e-12,1.161335898405893e-13,3.500482100789565e-11,3.671559274869363e-11,6.149631742644648e-11,2.82076732191429e-11,3.711194928146553e-09,4.80653129686644e-10,5.6454629272468925e-11,2.0807453626682038e-12,1.1380726077873285e-11,1.0139939894914158e-09,2.4590566368267945e-09,6.468108285959399e-13,4.579885971106969e-12,4.342736865518887e-11,3.534908860395197e-10,1.958248265228014e-11,6.0557273039009625e-05,0.0,6.970320942304732e-06,2.211138327136856e-05,2.1733984782654027e-05,1.808353531767624e-05,2.023650336845632e-05,7.312747129160472e-06,1.0663502377642471e-05,1.1051791584477006e-05,3.2195290728803715e-05,1.4079163242070096e-05,1.014789839872829e-05,2.362378656709683e-05,2.638027410009963e-05,9.629761350100974e-06,4.798569333934215e-06,1.0480170254957237e-05,1.4046213025061592e-05,4.017878312160597e-05,5.636028742337644e-05,1.802417342237477e-05,1.1826399952483492e-05,9.834494179903122e-06,1.2363850963022192e-05,1.1090885590062353e-05
Solitary Sandpiper,1.0482782893507089e-11,2.624725451170909e-14,4.0301073788431896e-12,5.688445308092593e-10,7.568450026779334e-09,1.7480148274869673e-10,4.364404803624375e-11,3.7217632721930424e-09,5.7908649440388e-09,1.4842819086873803e-08,1.5812847726182391e-09,4.39029599161621e-12,1.4146147188811996e-10,4.77515056770044e-13,2.1146501780917736e-13,2.8826196008420363e-14,1.2269442630609853e-13,6.314470526544319e-12,1.9252575527833594e-12,2.5472096636766506e-13,1.895834386937568e-12,1.4803933580482356e-12,4.2451559340270917e-13,2.4481146143490265e-13,1.5763512804752612e-10,1.4276469857045582e-12,1.3068286714810435e-12,2.7877314667000373e-13,2.354862616753487e-11,1.8971295112121435e-11,2.522700820575214e-11,1.737547930108519e-11,1.1708050574006725e-09,1.7322098526454843e-10,1.2038854555640107e-10,2.9340829486748046e-12,2.5494215847946223e-11,4.785009324692554e-10,1.2264550297678407e-09,9.23321334977389e-13,2.1072024954031453e-12,7.783319504094166e-11,1.6045311382060564e-10,1.4460675167024333e-11,3.852891143697397e-05,6.970320942304732e-06,0.0,6.3023597326567e-05,8.020258665016474e-05,5.0253640408896894e-05,1.483798543610558e-05,4.8273984151902594e-05,7.596507984202219e-06,7.277190019106203e-06,5.004393652533054e-05,1.7047535209866587e-05,4.147123328316719e-05,1.143668982181153e-05,1.9054517546341203e-05,6.811625103839519e-06,1.2443337618532579e-05,1.1781453063932487e-05,2.0435931917265677e-05,1.0187554345455685e-05,6.508987083326032e-05,1.27105486743339e-05,1.9433440663963275e-05,2.4724381782864833e-05,3.927327154682075e-05,2.684317491066686e-05
Gull-billed Tern,1.7912963123111992e-11,6.19589487303395e-14,3.241263719081235e-12,1.697224020826277e-09,4.633908596578661e-09,2.279041962887573e-10,1.4573706760369882e-10,4.3534124503381706e-09,1.0632959387733708e-08,2.582789711814306e-08,1.1343034789556227e-09,3.5283449242362254e-12,2.5368626160989486e-10,2.842610146386112e-12,2.7191311710417804e-13,2.981630328916669e-14,2.5334883834900423e-13,8.052586519343762e-12,1.5824797559543829e-12,2.385678554881099e-13,1.7682085836486541e-12,8.706883158208889e-13,4.662785433941055e-13,9.132246872730559e-14,1.6239785520242116e-10,6.773738517487347e-13,1.903344943243479e-12,3.5367887894717645e-13,6.52582798076454e-11,1.7503259904403812e-11,4.3480571978191547e-11,1.343293099385658e-11,1.4104229442005309e-08,6.108218250575168e-10,1.4475518171164124e-11,5.1502255748036914e-12,3.73223984576867e-11,2.113869872419328e-09,3.5782101826341465e-09,1.0716371257775427e-12,7.206712592816117e-12,3.940532137192277e-11,5.102530764763923e-10,1.0358337772871678e-11,3.686708987477097e-05,2.211138327136856e-05,6.3023597326567e-05,0.0,9.059476800525146e-05,2.1391160931490924e-05,4.084178888300053e-05,2.3542944544912265e-05,1.0377059964574897e-05,4.6028961430800065e-05,3.131525405779512e-05,3.6649431142431775e-05,2.4238125281181297e-05,3.8804886294516514e-05,1.435538531752842e-05,2.6671985422049813e-05,2.0021938026779278e-05,2.2969698562383615e-05,1.0870269399986227e-05,3.9435388127960555e-05,1.189396652634931e-05,3.983748997221754e-05,1.8347092103781767e-05,1.0053761940219596e-05,1.5465334294963583e-05,2.5528457136639124e-05
Nashville Warbler,3.561170410385468e-11,1.5834932014746006e-13,6.886641116875059e-12,2.1216933941727125e-09,2.1786612346457026e-08,3.4927673147888217e-10,1.4464220416871539e-10,6.537291451960298e-09,3.038602736973024e-08,3.782452235361863e-08,1.896267190166953e-09,1.0091003694266721e-11,5.869201644910584e-10,8.885651787388596e-13,2.115802663740476e-12,4.306103578121501e-14,5.17304221170333e-13,3.5767557943845493e-12,2.56260849917604e-12,6.141562023477261e-13,3.0378401956617326e-12,2.233687592646258e-12,1.0345975070499186e-12,2.467511948930302e-13,1.3005570377914016e-10,4.404067834271643e-13,2.390534585420046e-12,2.476018359977582e-13,4.550724588731767e-11,5.02849803433472e-11,9.67366761145446e-11,3.824932162363233e-11,3.05031128304888e-09,2.8847650863585694e-10,9.700543756655757e-11,1.0884542391145446e-11,1.8333420589821103e-11,5.845254820104484e-10,9.632803568273692e-10,1.0253170324784022e-12,3.0992457444596243e-12,1.557650414342122e-10,3.5257009820797807e-10,2.0076934951562754e-11,2.853254603389065e-05,2.1733984782654027e-05,8.020258665016474e-05,9.059476800525146e-05,0.0,5.5994564266178886e-05,1.4775544167303347e-05,3.1996878158393716e-05,2.7568939374687667e-05,2.0642889192377417e-05,1.740365558087262e-05,1.0388236943865656e-05,1.1414857712619688e-05,1.021797066439544e-05,5.741822866710048e-06,3.6399680731750654e-05,1.2226398124283552e-05,4.405464893636495e-06,7.515401956043167e-06,7.786519215870518e-06,2.3734980530558183e-05,1.4063788442516105e-05,1.4066469828830641e-05,1.0477165358670295e-05,1.528630759504665e-05,1.9977304794671007e-05
