,t_mean,water,shore,urban,salt_marsh,salt_woody_wetland,longitude,northness_median,elevation_sd,poc_mean,fresh_marsh,pasture,trange_mean,shrub,chl_mean,eastness_sd,forest,grassland,latitude,fresh_woody_wetland,elevation_median,agriculture,slopeness_sd,northness_sd,slopeness_median,barren,eastness_median
Great Blue Heron,0.538799527665794,0.16128336578696756,0.29738711015268454,0.27953461578852334,0.48393769198927666,0.45652120356935455,0.2887963029953422,-0.003034306889487819,-0.3645236264036871,-0.07721253458544836,-0.215594041449748,-0.47040855392934977,-0.7311229065060582,-0.36772230831501973,-0.4231423435132388,-0.4229562627226125,-0.3970820255024027,-0.31980759471653053,-0.7999727721361697,-0.46138944695462913,-0.892945047581853,-0.2774316281561743,-0.2646478076140302,-0.3516415399245668,-0.4876144306274135,-0.14022381979285425,-0.02383856159620267
Osprey,0.47521790098776134,0.12878011329040112,0.2531457908341246,0.24800019756871935,0.399933658315246,0.37632128119033065,0.2948298419069653,-0.0049910385229871386,-0.3813897888246083,-0.10878674662161666,-0.21788964611579079,-0.43451509189207693,-0.7056416266660577,-0.314298795133823,-0.36107227751188037,-0.3510334740088918,-0.3242078115671168,-0.2585651242780788,-0.7439307195411498,-0.38388029545142527,-0.8675756414085778,-0.263792337079966,-0.20873439319922366,-0.27963616575431743,-0.39638358447551625,-0.11759869667063362,-0.02675590062969624
Purple Martin,0.422290957166977,0.11674604869139049,0.24732457424769472,0.24874670693387624,0.4153238403133855,0.3951683789838991,0.34318861460249095,0.003968613892018819,-0.31100759368132425,-0.11516326535732173,-0.21253052407802397,-0.4530507342102733,-0.7044174284755024,-0.32852923836800263,-0.3785825690990236,-0.3548729320556548,-0.3294708774901276,-0.2665127344791597,-0.7067545725839552,-0.39228183388281096,-0.8400980981100374,-0.23392395429972487,-0.19942854239246063,-0.28796045477647414,-0.387429369771769,-0.13949418008353276,-0.026323184246957294
Ring-billed Gull,0.42561012378975605,0.11679861039905481,0.23453328176337945,0.23411476237482964,0.37703240337674093,0.35493917911184114,0.32459160679526294,0.001189397228149521,-0.28106283234891616,-0.12226477205470719,-0.215820928329684,-0.431492535039431,-0.7065722299312912,-0.3070919261246707,-0.363934965452766,-0.3469684100557152,-0.31214289316993904,-0.24956380211863596,-0.7103064797565121,-0.370226760199677,-0.8484574785376071,-0.2409660595545734,-0.19720465429319312,-0.27271594261075405,-0.3769695951524227,-0.12370369372421994,-0.027008732817389747
Eastern Towhee,0.44300769016936775,0.023969976593230528,0.1295790053544744,0.11009009073469997,0.1917417252492526,0.21786043505690567,-0.14605409615069517,-0.020139280696852654,-0.6033949418634085,0.021852340829521776,-0.06973983194904602,-0.11365593012928703,-0.12761355874398347,0.027882390426597188,0.03148447298772913,-0.06936771557920898,-0.033865233853656786,-0.04440781931915459,-0.4792366895071989,-0.15015773636814897,-0.4233983664592357,-0.17280572413120013,-0.08064722804585603,-0.10443299616697624,-0.1635192880647161,0.07587846739528044,-0.003392346221135901
Mourning Dove,0.4686083658138975,0.06513755835057235,0.17008067514445047,0.18708317057421867,0.27058429370641646,0.2834945586600503,0.04381974688895575,-0.006033451683321116,-0.6495139197492913,-0.08516827811741688,-0.11725505248029461,-0.19887468133804415,-0.41018641306563036,-0.08048970801947562,-0.10536451973561389,-0.17248037831328605,-0.1958809910638669,-0.11952686997377718,-0.615967783056056,-0.24977280865517965,-0.6498611858793906,-0.16720570829187448,-0.09908921457552049,-0.16115343725879538,-0.22109928770960002,0.030135762959155085,0.007522347014973287
Blue Jay,0.5547175912274425,0.06765506508097724,0.18013474787457298,0.17136986854004604,0.28965194629490404,0.30892292485211187,-0.03520441032258773,-0.016769519614089307,-0.7497599092651203,-0.04667275770860169,-0.09418430081071413,-0.24753258664920816,-0.41180513932079826,-0.10139701923386285,-0.12354815053755554,-0.19137638765114479,-0.17936426889073934,-0.13867503020214403,-0.6712080695243435,-0.2885054548390387,-0.66129680729486,-0.22429927646275777,-0.15382461365825104,-0.2166429145745351,-0.2761280990599488,0.027079852423583593,-0.0011807755702503812
Carolina Chickadee,0.5583341419717689,0.0696347755489062,0.18852043680311337,0.17668886775864248,0.2903764805570319,0.30943646482712533,-0.05244824589240093,-0.02917497584249439,-0.7283269881137863,-0.023361857709036024,-0.10796060493020958,-0.2254130967962803,-0.36569202487971647,-0.08642255045311824,-0.09887532506975383,-0.180230642788491,-0.16482056177451268,-0.13299147414573,-0.6666928143126543,-0.27108865448551256,-0.6451969730394598,-0.22786896280684624,-0.15292851042320832,-0.2048407429269114,-0.27745524756202017,0.041892107049400384,-0.006154532645638308
Downy Woodpecker,0.6150697762861704,0.11411273064461548,0.21760446062122024,0.1685621014112936,0.30361282334092055,0.310390034336631,-0.055938485549706464,-0.025122574849391666,-0.7034910437572917,-0.009148221949698828,-0.12036418512051836,-0.2380616328228711,-0.36828495616921053,-0.15231980403907752,-0.14704031456355415,-0.234749670508443,-0.23038315142035906,-0.19314353419033584,-0.6854766256587531,-0.2852531175173994,-0.6349319833243731,-0.2695156941779168,-0.20493530444413036,-0.25014426124684225,-0.3540811234319008,0.014345350091440872,-0.006082420114000939
Fish Crow,0.6063840020411742,0.10572059158237702,0.2175770567304315,0.1733748267755826,0.3107802442034959,0.3222696701564148,-0.05783990567572341,-0.031936333345317904,-0.7519672304245147,-0.0343035177079438,-0.09815838529114276,-0.23113615428583725,-0.3673686557628229,-0.12533606688342563,-0.13562265993716702,-0.22148366110736392,-0.21756884830478973,-0.17289465686063704,-0.6845821280709348,-0.2824456235416592,-0.6364473873007326,-0.23956114729532724,-0.2039713299285456,-0.24714960170992722,-0.3464472012141859,0.023450613276653518,-0.005153602303456262
