Class,Label,Accuracy,F1 Score,Precision,Recall,Positive Rate,Non-Zero Rate
114,Eastern Towhee,0.6895735964456754,0.38542380625999545,0.25716463414634144,0.768915223336372,0.12659396,0.12620745767406433
115,Eastern Whip-poor-will,0.9998845998499798,0.0,0.0,0.0,0.00011540015,9.521171623446318e-05
116,Eastern Wood-Pewee,0.7221164387513703,0.11438028687017286,0.0618413203420163,0.7603911980440098,0.02359933,0.023811584669182564
117,Eurasian Collared-Dove,0.6525878483642029,0.2061964403427818,0.12066039191482796,0.7083333333333334,0.063700885,0.06374857182425649
118,European Herring Gull,0.7712769026599735,0.248103186646434,0.14398943196829592,0.8958904109589041,0.042121056,0.0427673718104075
119,European Starling,0.6664358663666263,0.41717915112410525,0.2941427352857549,0.717157712305026,0.16646472,0.16767648789945644
120,Field Sparrow,0.9972303963995153,0.0,0.0,0.0,0.0027696036,0.002968874424401897
121,Fish Crow,0.6741099763429692,0.38900908697533537,0.2833280806807438,0.6204278812974465,0.16721481,0.16866322750406815
122,Fork-tailed Flycatcher,0.9998268997749697,0.0,0.0,0.0,0.00017310023,0.00019907904303569573
123,Forster's Tern,0.7543707806820149,0.32780672666982474,0.20092915214866433,0.8894601542416453,0.067335986,0.06520271439947374
124,Fox Sparrow,0.9998845998499798,0.0,0.0,0.0,0.00011540015,8.65561056676938e-05
125,Franklin's Gull,0.9992498990248687,0.0,0.0,0.0,0.000750101,0.0009953952151784786
126,Fulvous Whistling-Duck,0.9997691996999596,0.0,0.0,0.0,0.0002308003,0.00038950247550462207
127,Gadwall,0.9877675840978594,0.13114754098360656,0.14953271028037382,0.11678832116788321,0.0079049105,0.007435169476854898
128,Glaucous Gull,0.9996537995499394,0.0,0.0,0.0,0.00034620045,0.00036353564380431396
129,Glossy Ibis,0.9975188967745658,0.0,0.0,0.0,0.0024811032,0.0018523006612886474
130,Golden Pheasant,0.9995960994749293,0.0,0.0,0.0,0.0004039005,0.0002163902641692345
131,Golden-crowned Kinglet,0.9936529917488893,0.0,0.0,0.0,0.005943108,0.00545303465706471
132,Golden-winged Warbler,0.998788298424788,0.0,0.0,0.0,0.0012117015,0.0015147318491846415
133,Grasshopper Sparrow,0.9996537995499394,0.0,0.0,0.0,0.00034620045,0.00022504587473600387
134,Gray Catbird,0.722462639201431,0.3717345872518286,0.25145785474465454,0.7125688532799199,0.11522705,0.1182702627843368
