Class,Label,Non-Zero Rate
271,Scaly-breasted Munia,0.026278433680711838
272,Scarlet Tanager,0.018358550012117853
273,Scissor-tailed Flycatcher,0.0021552470311255755
274,Seaside Sparrow,0.005046220960426549
275,Sedge Wren,0.006985077727382889
276,Semipalmated Plover,0.02303257971817332
277,Semipalmated Sandpiper,0.01103590347263096
278,Sharp-shinned Hawk,0.0066561645258456535
279,Shiny Cowbird,0.0003462244226707752
280,Short-billed Dowitcher,0.011702385486272202
281,Snow Goose,0.0012810303638818683
282,Snowy Egret,0.12007928539279161
283,Snowy Plover,0.012922826576186684
284,Solitary Sandpiper,0.006811965516047502
285,Song Sparrow,0.024642523283592423
286,Sooty Tern,0.0006058927396738566
287,Sora,0.008906623273205691
288,South Polar Skua,0.0003462244226707752
289,Spotted Sandpiper,0.021249523941418828
290,Sprague's Pipit,0.00023370148530277326
291,Stilt Sandpiper,0.0036093896063428316
292,Summer Tanager,0.048696465048644534
293,Surf Scoter,0.0005972371291070872
294,Swainson's Hawk,0.00037219125437108335
295,Swainson's Thrush,0.011901464529307897
296,Swainson's Warbler,0.0032891320153723646
297,Swallow-tailed Kite,0.007798705120659211
298,Swamp Sparrow,0.04620364920541495
299,Swan Goose,0.0019302011563895717
300,Tennessee Warbler,0.015934979053422428
301,Tree Swallow,0.03998026520790777
302,Tricolored Heron,0.03833569920022158
303,Tropical Kingbird,0.00037219125437108335
304,Tufted Titmouse,0.22332340823321678
305,Turkey Vulture,0.11672090849288509
306,Upland Sandpiper,0.00039815808607139146
307,Veery,0.005427067825364401
308,Vermilion Flycatcher,0.005565557594432711
309,Vesper Sparrow,0.003020808087802514
310,Virginia Rail,0.0035141778901083684
311,Warbling Vireo,0.0005626146868400097
312,Western Barn Owl,0.0006318595713741647
313,Western Flycatcher,0.0001298341585015407
314,Western Kingbird,0.0040075476924142225
315,Western Sandpiper,0.010568500502025412
316,Western Tanager,0.0015580099020184883
317,Whimbrel,0.0035401447218086765
318,White Ibis,0.06431984212166326
319,White-breasted Nuthatch,0.0001298341585015407
320,White-crowned Pigeon,0.00018176782190215698
321,White-crowned Sparrow,0.004232593567150227
322,White-eyed Vireo,0.09850084824983554
323,White-faced Ibis,0.0009261503306443237
324,White-rumped Sandpiper,0.002008101651490496
325,White-throated Sparrow,0.049856316864591625
326,White-winged Dove,0.06555759443271128
327,White-winged Scoter,0.0004674029706055465
328,Wild Turkey,0.003020808087802514
329,Willet,0.06772149707440363
330,Willow Flycatcher,9.521171623446318e-05
331,Wilson's Phalarope,0.0009521171623446318
332,Wilson's Plover,0.0036093896063428316
333,Wilson's Snipe,0.007660215351590901
334,Wilson's Warbler,0.004899075580791469
335,Winter Wren,0.001964823598656649
336,Wood Duck,0.03772980646054773
337,Wood Stork,0.0007357268981753973
338,Wood Thrush,0.022392064536232385
339,Worm-eating Warbler,0.008543087629401378
340,Yellow Warbler,0.0238288958903161
341,Yellow-bellied Flycatcher,0.00014714537963507945
342,Yellow-bellied Sapsucker,0.037807706955648654
343,Yellow-billed Cuckoo,0.029195374441713117
344,Yellow-breasted Chat,0.006993733337949659
345,Yellow-crowned Night Heron,0.021284146383685906
346,Yellow-headed Blackbird,0.0008828722778104767
347,Yellow-rumped Warbler,0.20139874666758995
348,Yellow-throated Vireo,0.024815635494927813
349,Yellow-throated Warbler,0.019302011563895716
