Class,Label,RMSE,MAE,NRMSE (by avg),NRMSE (by max),Normalized RMSE (0-1),Avg Count,Max Count,Non-Zero Rate
42,Black-necked Stilt,3.197118719660717,0.5970803499221802,19.974501135514373,0.010657062398869056,0.010657062954342857,0.16006,300.0,0.012628535816916526
43,Black-throated Blue Warbler,0.026313511865591808,0.000577000726480037,50.67105078110015,0.013156755932795904,0.013156755932795904,0.0005193007,2.0,0.0006405151819409341
44,Black-throated Gray Warbler,0.08251429433965053,0.006808608770370483,476.6850738705086,0.08251429433965053,0.08251429433965053,0.00017310023,1.0,0.00016445660076861823
45,Black-throated Green Warbler,0.4599222543571337,0.18579423427581787,25.54779800777698,0.0418111140324667,0.04181111602290689,0.018002423,11.0,0.010438666343523872
46,Black-whiskered Vireo,0.031319343847604625,0.0009809012990444899,41.75350250267488,0.031319343847604625,0.031319343847604625,0.000750101,1.0,0.0006491707925077035
47,Blackburnian Warbler,0.1679742169044989,0.026484334841370583,40.432792276831876,0.055991405634832965,0.0559914065589059,0.0041544056,3.0,0.0038430910916456046
48,Blackpoll Warbler,0.20453008357065863,0.04090935364365578,57.1727560244786,0.05113252089266466,0.05113252089266466,0.0035774047,4.0,0.00334972128933975
49,Blue Grosbeak,1.4278364027647925,0.9717269539833069,13.855449568540056,0.014278364027647926,0.014278363455288533,0.10305233,100.0,0.03388671536890212
50,Blue Jay,5.703950670646953,5.254457473754883,3.562733543883346,0.07605267560862604,0.07605267637167276,1.601004,75.0,0.4883235813454281
51,Blue-gray Gnatcatcher,2.0341411262772673,1.9208931922912598,8.067208657137144,0.09246096028533034,0.09246096944224197,0.2521493,22.0,0.1146522175674272
52,Blue-headed Vireo,0.9006053147292373,0.7989729642868042,24.735959141273813,0.09006053147292373,0.0900605323002096,0.03640875,10.0,0.026425579060346916
53,Blue-winged Teal,12.015898028026115,1.2845767736434937,22.409075070352287,0.01001324835668843,0.010013249346394946,0.5362068,1200.0,0.023015268497039783
